,Name,RegNo,Gender,8956-Place,8956-Points,8811-Place,8811-Points,8902-Place,8902-Points,8925-Place,8925-Points,8810-Place,8810-Points,Best3-Points,place
106,Jana Pekařová,0110002,M,,,,,,,,,35.,141,141,107
107,Königová Jana,ZBM8661,F,,,,,38.,138,,,,,138,108
108,Janošíková Lenka,UOL7651,F,,,,,,,,,38.,138,138,108
109,Batistová Karolína,ZBM0864,F,,,,,,,,,39.,137,137,110
110,Grycová Kateřina,TBM0058,F,,,,,40.,136,,,,,136,111
111,Kožinová Jana,PGP6651,F,,,,,41.,135,,,,,135,112
112,Zajíčková Lenka,TBM7152,F,,,,,,,,,42.,134,134,113
113,Vlachová Eliška,STE9572,F,,,,,,,,,43.,133,133,114
114,Novotná Klára,ZLH9851,F,,,,,44.,132,,,,,132,115
115,Kaděrová Jana,ZBM8653,F,,,,,47.,129,,,,,129,116
116,Zemánková Vladimíra,RBK8051,F,,,,,,,,,50.,126,126,117
117,Unčovská Martina,0200001,M,,,,,,,,,51.,125,125,118
118,Vičarová Lucie,0070001,F,,,,,,,,,53.,123,123,119
119,Soukupová Kateřina,ZBM0660,F,,,,,53.,123,,,,,123,119
120,Mazálková Libuše,nereg.,F,,,,,55.,121,,,,,121,121
121,Miková Iva,TBM7071,F,,,,,,,,,56.,120,120,122
122,Čelechovská Zora,UBM7451,F,,,,,56.,120,,,,,120,122
123,Hiklová Eva,ZBM0755,F,,,,,57.,119,,,,,119,124
124,Fuchsová Marcela,TBM7260,F,,,,,58.,118,,,,,118,125
125,Horsáková Barbora,nereg.,F,,,,,59.,117,,,,,117,126
126,Pařízková Zuzana,ZBM8351,F,,,,,,,,,59.,117,117,126
127,Humlíčková Jana,UBM7351,F,,,,,,,,,60.,116,116,128
128,Lžičařová Magdalena,0050005,F,,,,,,,,,61.,115,115,129
129,Kurečková Dana,ABM7650,F,,,,,61.,115,,,,,115,129
130,Dohnalová Květa,ZBM7954,F,,,,,62.,114,,,,,114,131
131,Láčíková Sabina,0230001,M,,,,,,,DISK,0,63.,113,113,132
